,Jobs,Application Links,Post Date,Location,Closed Date,Status
45,Supply Chain - Industrial Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/supply-chain-industrial-engineering-internship-fall-2021-80349,12/30/2020,U.S,As Soon As Possible,OPEN
46,Manufacturing - Packaging Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/manufacturing-packaging-engineering-internship-fall-2021-80313,12/30/2020,U.S,As Soon As Possible,OPEN
47,Energy – Technical Program Management Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-technical-program-management-internship-fall-2021-80328,12/30/2020,U.S,As Soon As Possible,OPEN
48,Vehicle Engineering - Tools & Technical Management Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-tools-technical-management-internship-fall-2021-80359,12/30/2020,U.S,As Soon As Possible,OPEN
49,Vehicle Engineering - Soft Trim & Seat Design Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-soft-trim-seat-design-internship-summer-2021-77572,11/20/2020,U.S,As Soon As Possible,OPEN
50,Vehicle Engineering - Quality Design Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-quality-design-internship-summer-2021-77533,11/19/2020,U.S,As Soon As Possible,OPEN
51,Applications Engineering - Product Management Internship (Fall 2021),https://www.tesla.com/careers/search/job/applications-engineering-product-management-internship-fall-2021-80368,12/30/2020,U.S,As Soon As Possible,OPEN
52,Manufacturing - New Product Introduction (NPI) Internship (Fall 2021),https://www.tesla.com/careers/search/job/manufacturing-new-product-introduction-npi-internship-fall-2021-79457,12/30/2020,U.S,As Soon As Possible,OPEN
53,Energy – Electrical Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-electrical-engineering-internship-fall-2021-80327,12/30/2020,U.S,As Soon As Possible,OPEN
54,Vehicle Engineering - Powertrain Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-powertrain-internship-fall-2021-80364,12/30/2020,U.S,As Soon As Possible,OPEN
55,Information Security Internship (Fall 2021),https://www.tesla.com/careers/search/job/information-security-internship-fall-2021-80365,12/30/2020,U.S,As Soon As Possible,OPEN
56,Software - QA Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/software-qa-engineering-internship-fall-2021-80354,12/30/2020,U.S,As Soon As Possible,OPEN
57,Public Policy Internship (Fall 2021),https://www.tesla.com/careers/search/job/public-policy-internship-fall-2021-80322,12/30/2020,U.S,As Soon As Possible,OPEN
58,Digital Content Internship (Fall 2021),https://www.tesla.com/careers/search/job/digital-content-internship-fall-2021-80337,12/30/2020,U.S,As Soon As Possible,OPEN
59,Product Manager -Supply Chain Internal Tools,https://www.tesla.com/careers/search/job/product-manager-supply-chain-internal-tools-78713,12/07/2020,U.S,As Soon As Possible,OPEN
60,Energy - Compliance & Reliability Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-compliance-reliability-engineering-internship-fall-2021-80325,12/30/2020,U.S,As Soon As Possible,OPEN
61,Residential Energy - Demand Generation Internship (Summer 2021),https://www.tesla.com/careers/search/job/residential-energy-demand-generation-internship-summer-2021-77410,11/18/2020,U.S,As Soon As Possible,OPEN
62,Facilities & Construction Internship (Fall 2021),https://www.tesla.com/careers/search/job/facilities-construction-internship-fall-2021-80336,12/30/2020,U.S,As Soon As Possible,OPEN
63,Energy - Thermal Modeling and Validation Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-thermal-modeling-and-validation-internship-fall-2021-80334,12/30/2020,U.S,As Soon As Possible,OPEN
64,Vehicle Engineering - Test & Analysis Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-test-analysis-internship-fall-2021-80358,12/30/2020,U.S,As Soon As Possible,OPEN
65,Vehicle Hardware - Thermal Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-thermal-engineering-internship-fall-2021-80345,12/30/2020,U.S,As Soon As Possible,OPEN
66,Energy - Asset Management Analyst Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-asset-management-analyst-internship-fall-2021-80324,12/30/2020,U.S,As Soon As Possible,OPEN
67,Vehicle Hardware - Program Management Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-program-management-internship-fall-2021-80341,12/30/2020,U.S,As Soon As Possible,OPEN
68,Autopilot - Deep Learning Internship (Summer 2021),https://www.tesla.com/careers/search/job/autopilot-deep-learning-internship-summer-2021-79628,12/29/2020,U.S,As Soon As Possible,OPEN
69,Manufacturing - Automation Controls Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/manufacturing-automation-controls-engineering-internship-fall-2021-80310,12/30/2020,U.S,As Soon As Possible,OPEN
70,Vehicle Hardware - Thermal Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-thermal-engineering-internship-summer-2021-77027,11/15/2020,U.S,As Soon As Possible,OPEN
71,Energy - EV Infrastructure Data Scientist Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-ev-infrastructure-data-scientist-internship-fall-2021-80331,12/30/2020,U.S,As Soon As Possible,OPEN
72,HR & People Teams Internship (Fall 2021),https://www.tesla.com/careers/search/job/hr-people-teams-internship-fall-2021-80320,12/30/2020,U.S,As Soon As Possible,OPEN
73,Autopilot - Perception Intern (Summer 2021),https://www.tesla.com/careers/search/job/autopilot-perception-intern-summer-2021-80774,01/07/2021,U.S,As Soon As Possible,OPEN
74,Software - Energy Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-energy-engineering-internship-summer-2021-75788,10/30/2020,U.S,As Soon As Possible,OPEN
75,Energy - Thermal Modeling and Validation Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-thermal-modeling-and-validation-internship-summer-2021-75792,10/30/2020,U.S,As Soon As Possible,OPEN
76,UX Design – Application Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/ux-design-application-engineering-internship-summer-2021-75791,10/30/2020,U.S,As Soon As Possible,OPEN
77,Energy Operations – Training Content Producer Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-operations-training-content-producer-internship-summer-2021-75759,10/30/2020,U.S,As Soon As Possible,OPEN
78,Software - Embedded Systems Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-embedded-systems-engineering-internship-summer-2021-75430,10/30/2020,U.S,As Soon As Possible,OPEN
79,Vehicle Engineering - Tools & Technical Management Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-tools-technical-management-internship-summer-2021-75660,10/30/2020,U.S,As Soon As Possible,OPEN
80,Manufacturing - Project Management Internship (Summer 2021),https://www.tesla.com/careers/search/job/manufacturing-project-management-internship-summer-2021-75782,10/30/2020,U.S,As Soon As Possible,OPEN
